id_observacion,id_referencia,minorista,categoria,url,momento_utc,precio,precio_lista,moneda,disponibilidad,metodo,estado,detalle_error,html_hash,nombre,precio_referencia,descuento_anunciado,metodo_referencia,extracto,version_captura
7,REF0001,ktronix,"",https://www.ktronix.com/ipad-air-13-m4-128gb-wifi-gr/p/195950797978,2026-08-20T19:23:54.719969+00:00,4709010.0,,,"",meta,ok,,5369714549046226716,,,,,,
87,REF0001,ktronix,"",https://www.ktronix.com/ipad-air-13-m4-128gb-wifi-gr/p/195950797978,2026-09-08T13:03:37.941249+00:00,4199010.0,,,"",meta,ok,,78491e05f192ef5d2a44d868789ab05ebd27763182ec75a1f13db9c74d84db71,"Tablet Apple M4 13 pulgadas 128GB | Ktronix",,,,meta=4199010.0,v2-2026-09
8,REF0002,ktronix,"",https://www.ktronix.com/silla-gamer-bergara-gris-dg/p/7705946585781,2026-08-20T19:24:12.520395+00:00,849900.0,,,"",meta,ok,,-7415288834950937865,,,,,,
88,REF0002,ktronix,"",https://www.ktronix.com/silla-gamer-bergara-gris-dg/p/7705946585781,2026-09-08T13:03:52.029918+00:00,552435.0,,,"",meta,ok,,da67bf1ba3250ff9edbf43a03cbc3503eff3d484adb893be9fcca261e459078d,"Silla Gamer TUKASA Bergara Roja",,,,meta=552435.0,v2-2026-09
9,REF0003,ktronix,"",https://www.ktronix.com/nev-hcb-nf-cs-226lt-n243miplg/p/7704353450736,2026-08-20T19:24:28.182095+00:00,1599900.0,,,"",meta,ok,,-4086278359787074982,,,,,,
89,REF0003,ktronix,"",https://www.ktronix.com/nev-hcb-nf-cs-226lt-n243miplg/p/7704353450736,2026-09-08T13:04:04.865042+00:00,1479900.0,,,"",meta,ok,,c9d6f6c6cd6ff6a3f5f95f03c9eee732895816bceb2fb711dc58cd45f01a136e,"Nevera Haceb 226L No Frost Dispensador | Ktronix",,,,meta=1479900.0,v2-2026-09
10,REF0004,ktronix,"",https://www.ktronix.com/mem-usb-king-datatravl-64gb-rs/p/740617336283,2026-08-20T19:24:44.385373+00:00,79900.0,,,"",meta,ok,,-3355551606609562166,,,,,,
90,REF0004,ktronix,"",https://www.ktronix.com/mem-usb-king-datatravl-64gb-rs/p/740617336283,2026-09-08T13:04:16.397444+00:00,79900.0,,,"",meta,ok,,adbb846db86804440bbf816a742986890c55c057b4c3979c23a0f694befb60bc,"Memoria USB KINGSTON DataTraveler Exodia M 64GB Verde",,,,meta=79900.0,v2-2026-09
11,REF0005,ktronix,"",https://www.ktronix.com/cel4g-moto-g15-128gb-nj/p/840023280221,2026-08-20T19:24:54.663579+00:00,499050.0,,,"",meta,ok,,6466785354610667103,,,,,,
91,REF0005,ktronix,"",https://www.ktronix.com/cel4g-moto-g15-128gb-nj/p/840023280221,2026-09-08T13:04:32.213477+00:00,479050.0,,,"",meta,ok,,f266de978f382c10370c510399439872fc5050e6c62ca5a4c142a968ab600b43,"Descubre Celular MOTOROLA G15 128GB 4G Gris | Ktronix",,,,meta=479050.0,v2-2026-09
